/////////////////////////////////////////////////////////////////////////////////////////////////////
/////角色ー定义//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
//000 拉古那		 Ch_003l 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19 01		红发的热血宝物猎人。\n驾驶爱机特里斯坦号四处旅行。
1021 嘉兰多	 ch_021  1014  1 15	-----	0   0  0 	----|----|----|----		21 22 0	---- 0	---- 0	5000 0		X
1022 戴嘉鲁德		 ch_022  1022  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0		X
1023 魔女拉莱拉	 ch_023  1023  1 15	-----	0   0  0 	----|----|----|----		23 21 0	---- 0	---- 0	9999 0		X
1024 藤藏老人	 ch_024  1014  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	67	 0		X
1025 蒙布兰		 ch_025  1025  1 15	-----	0   0  0 	----|----|----|----		25 20 0	---- 0	---- 0	---- 0		X
1026 扎哈鲁		 ch_026  1026  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0		X
1027 特尔米多鲁	 ch_027  1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	20	 0		X //普通
1028 特尔米多鲁 	 ch_028  1028  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0		X //魔族
1029 米瑞姆		 ch_029  1016  1 15	-----	0   0  0 	----|----|----|----	   29 20 0	---- 0	---- 0	26	 0		X
1030 艾克斯玛绮娜	 ch_030  1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X
1031 艾克斯玛绮娜	 ch_031  1016  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X
1032 艾克斯玛绮娜	 ch_032  1016  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X
1033 奥迪莎		 ch_033  1022  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0		X //狼奥迪莎
1034 奥迪莎		 ch_034  1014  1 15	-----	0   0  0 	----|----|----|----		19 21 0	---- 0	---- 0	---- 0		X //半狼奥迪莎
1035 魔王米娅		 ch_035  1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X //魔王米娅１
1036 特尔米多鲁	 ch_036  1036  1 15	-----	0   0  0 	----|----|----|----		27 21 0	---- 0	---- 0	---- 0		X //アーマーテルミ
1037 戴嘉鲁德		 ch_037  1014  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0		X //戴嘉鲁德人間
1038 魔王米娅		 ch_038  1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X //魔王米娅戦闘前
1039 魔王米娅		 ch_039  1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X //魔王米娅戦闘後
1040 梅			 ch_049  1016  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	53	 0		X
1041 凯			 ch_076  1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	57	 0		X
1042 忍者			 ch_079  1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	60	 0		X
1043 植物ＢＯＳＳ		 BS_401  1043  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	60	 0		X
1044 拉古那			 ch_003f 1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	18	 0		X //裸
1045 昴			 ch_020c 1014  1 15	-----	0   0  0 	----|----|----|----		20 20 0	---- 0	---- 0	14	 0		X //湯衣
1046 昴			 ch_020d 1014  1 15	-----	0   0  0 	----|----|----|----		20 20 0	---- 0	---- 0	14	 0		X //包帯
1047 昴			 ch_020b 1014  1 15	-----	0   0  0 	----|----|----|----		20 20 0	---- 0	---- 0	67	 0		X //靴下バージョン
1048 藤藏老人	 ch_024b 1014  1 15	-----	0   0  0 	----|----|----|----		24 22 0	---- 0	---- 0	67	 0		X //足袋バージョン
1049 拉古那			 ch_003e 1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	67	 0		X //靴下バージョン
1050 格苏雷师傅	 Ch_061  1014  1 15	-----   0   0  0 	----|----|----|----		61 22 0	---- 0	---- 0	63	 0		X
1051 诺顿		 Ch_063  1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	44	 0		X
1052 拉古那			 ch_003g 1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	18	 0		X //包帯 靴下
1053 拉古那			 ch_003h 1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	18	 0		X //包帯 ブーツ
1054 吉斯卡鲁公	 ch_021b 1014  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	18	 0		X //嘉兰多的真实身份
1055 藤藏老人	 ch_024c 1014  1 15	-----	0   0  0 	----|----|----|----		24 22 0	---- 0	---- 0	67	 0		X //包帯バージョン
1056 凯			 ch_076b 1014  1 15	-----	0   0  0 	----|----|----|----		76 21 0	---- 0	---- 0	57	 0		X //ニンジャ服バージョン
1057 魔女拉莱拉	 ch_023b 1023  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	9999 0		X //偽者
1058 米娅			 ch_091  1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X //エピローグ用
1059 艾尔雯		 ch_004c 1014  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	215  0		X //水着Ver
1060 奥迪莎		 ch_034b 1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0		X //水着Ver
1061 露			 ch_015b 1015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	9	 0		X //ルウ裸Ver
1063 诺顿		 ch_063  1014  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	44	 0		X
1064 特尔米多鲁 	 ch_a64  1028  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0		X //モノトーン
1065 拉古那			 ch_003g 1010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	18	 0		X //包帯 靴下武器
1066 戴嘉鲁德		 ch_022b  022  3 23	-----	600 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    0		X //ハイパーモード戦闘
1067 戴嘉鲁德		 ch_022b 1022  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	18	 0		X //ハイパーモード
1068 洛缇			 Ch_082  1016  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0		X
1069 拉古那			 Ch_003k  001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	19	 01		X //パンクロック
1070 艾尔雯			 Ch_004e  004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	113  02		X //うさぎ
1091 米娅			 ch_091  1016  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	 0		X //私服米娅



//■■■ダンジョン?バリエ別エントリー■■■
1200 门（假？）	 --------   0 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1201 门（岩２）		 obx1022a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1202 门（岩３）		 obx2022a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1203 门（异２）		 obx1132a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1204 门（异３）		 obx2132a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1205 门（神殿２）	 ob21101a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1206 门（神殿３）	 ob22101a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1207 门（山２）		 ob61001a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1208 门（山３）		 ob62001a 500 2 01	-----	0	5	0	---*|----|----|---*		10	0	0	---- 0	---- 0	---- 0		？？？
1220 门（城内搬运）	 ob50503a 500 2 01	-----	0	5	0	---*|----|---*|---*		10	0	0	---- 0	---- 0	---- 0		？？？

1300 台阶下（假？） --------  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1301 台阶上（假？） --------  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1302 台阶下（岩２）	  obx1012a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1303 台阶上（岩２）	  obx1002a  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1304 台阶下（岩３）	  obx2012a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1305 台阶上（岩３）	  obx2002a  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1306 台阶下（异２）	  obx1102a  0 2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1307 台阶上（异２）	  obx1112a  0 2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1308 台阶下（异３）	  obx2102a  0 2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1309 台阶上（异３）	  obx2112a  0 2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1310 台阶下（神殿２） ob21111a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1311 台阶上（神殿２） ob21121a  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1312 台阶下（神殿３） ob22111a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1313 台阶上（神殿３） ob22121a  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1314 台阶下（墓地青） obx0092a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1315 台阶上（墓地赤） obx0082a  0 2 01	-----	0	2	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1316 台阶下（山２）	  ob60011a  0 2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1317 台阶上（山３）	  ob60021a  0 2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1318 台阶下（博物馆） obx0063a  0 2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1319 台阶上（博物馆） obx0053a  0 2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1320 台阶（モンス用） Ob20151a  0 2 01	-----	0	1	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1321 台阶（モンス用） Ob20151a  0 2 01	-----	0	2	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？

1400 拱门（假？） --------  0 2 01	-----	0	3	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1401 拱门（岩２）	  obx1032a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1402 拱门（岩３）	  obx2032a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1403 拱门（异２）	  obx1122a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1404 拱门（异３）	  obx2122a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1405 拱门（神殿２） ob21131a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1406 拱门（神殿３） ob22131a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1407 拱门（山２）	  ob61031a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1408 拱门（山３）	  ob62031a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1409 拱门（博物馆） obx0073a  0 2 01	-----	0	3	0	---*|----|-*--|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1410 拱门（墓地青） obx0092a  0 2 01	-----	0	1	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？
1411 拱门（墓地赤） obx0082a  0 2 01	-----	0	0	0	---*|----|----|---*		0	0	0	---- 0	---- 0	---- 0		？？？

#EndCharTable

/////////////////////////////////////////////////////////////////////////////////////////////////////


